City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Lithakia,GR,2022-11-09 01:56:11,37.7167,20.8333,283.8,69,41,2.13
153,Bustamante,MX,2022-11-09 01:56:12,26.5333,-100.5,296.65,64,12,2.84
154,Morehead,US,2022-11-09 01:56:12,37.2711,-87.1764,289.81,35,0,1.54
155,Chokurdakh,RU,2022-11-09 01:56:12,70.6333,147.9167,254.77,97,96,3.89
156,Jiuquan,CN,2022-11-09 01:56:13,39.7432,98.5174,279.17,31,0,2.81
157,Sandpoint,US,2022-11-09 01:54:30,48.2766,-116.5533,272.23,55,0,6.69
158,East London,ZA,2022-11-09 01:56:13,-33.0153,27.9116,290.74,88,28,1.58
159,Carnarvon,AU,2022-11-09 01:56:14,-24.8667,113.6333,294.52,52,67,4.63
160,Fort Saint James,CA,2022-11-09 01:56:14,54.4333,-124.25,254.72,95,81,0.61
161,Almeirim,BR,2022-11-09 01:56:14,-1.5233,-52.5817,296.33,95,100,0.4
162,Qingdao,CN,2022-11-09 01:56:15,36.0986,120.3719,282.93,100,100,1.0
163,Ribeira Grande,PT,2022-11-09 01:56:15,38.5167,-28.7,291.91,86,83,2.68
164,Mahebourg,MU,2022-11-09 01:56:15,-20.4081,57.7,296.31,78,40,3.09
165,Kibala,TD,2022-11-09 01:56:16,9.1104,18.3463,294.12,100,0,1.03
166,Shenjiamen,CN,2022-11-09 01:56:16,29.9576,122.298,293.62,75,48,5.91
167,Muros,ES,2022-11-09 01:56:17,42.7762,-9.0603,286.53,93,99,3.56
168,Galanta,SK,2022-11-09 01:56:17,48.19,17.7275,283.42,93,44,5.4
169,Terrace Bay,CA,2022-11-09 01:56:17,48.7834,-87.1,276.79,71,100,8.79
170,Hofn,IS,2022-11-09 01:51:45,64.2539,-15.2082,279.11,80,100,7.2
171,Taunggyi,MM,2022-11-09 01:56:18,20.7833,97.0333,291.12,69,8,0.21
172,Aquiraz,BR,2022-11-09 01:52:04,-3.9014,-38.3911,299.92,79,100,3.44
173,Qaqortoq,GL,2022-11-09 01:56:18,60.7167,-46.0333,266.54,71,8,2.96
174,Tshela,CD,2022-11-09 01:56:19,-4.9833,12.9333,295.74,99,100,0.62
175,Dire,ML,2022-11-09 01:56:19,12.2833,-10.9667,295.14,32,98,1.13
176,Faanui,PF,2022-11-09 01:56:20,-16.4833,-151.75,299.23,70,98,4.83
177,Beringovskiy,RU,2022-11-09 01:56:20,63.05,179.3167,268.32,90,100,1.82
178,Abu Samrah,SY,2022-11-09 01:56:20,35.3029,37.1841,288.06,69,100,3.6
179,Nome,US,2022-11-09 01:56:21,64.5011,-165.4064,274.35,98,100,3.17
180,Masuguru,TZ,2022-11-09 01:56:21,-11.3667,38.4167,294.42,87,4,1.7
181,Kadom,RU,2022-11-09 01:56:22,54.5592,42.4675,275.47,92,100,4.36
182,Cabo San Lucas,MX,2022-11-09 01:57:22,22.8909,-109.9124,297.32,70,2,3.58
183,Champerico,GT,2022-11-09 01:57:22,14.3,-91.9167,299.65,78,98,1.89
184,Roquetas De Mar,ES,2022-11-09 01:57:23,36.7642,-2.6148,288.15,63,100,5.16
185,Longyearbyen,SJ,2022-11-09 01:57:23,78.2186,15.6401,269.06,74,75,4.63
186,Rocha,UY,2022-11-09 01:57:23,-34.4833,-54.3333,284.24,95,0,2.0
187,Constitucion,CL,2022-11-09 01:57:24,-35.3333,-72.4167,285.1,95,100,1.72
188,Lasa,IT,2022-11-09 01:57:24,46.6166,10.7002,275.57,91,60,1.28
189,Tuatapere,NZ,2022-11-09 01:54:13,-46.1333,167.6833,287.13,79,94,5.8
190,Clyde River,CA,2022-11-09 01:57:25,70.4692,-68.5914,258.28,78,100,7.2
191,Verkhnevilyuysk,RU,2022-11-09 01:57:25,63.4453,120.3167,254.83,95,91,0.93
192,Tarakan,ID,2022-11-09 01:57:25,3.3,117.6333,300.87,83,40,1.54
193,Tomatlan,MX,2022-11-09 01:57:26,19.9333,-105.25,295.61,91,0,1.15
194,Arman,RU,2022-11-09 01:57:26,59.7,150.1667,258.16,82,42,2.27
